Drug,DX,30 day quantity,30 day price,90day quantity,90 day Price,Pharmacy
BENZONATATE 100 MG ,"Allergy, Cough and Cold",14,$4,42,$10,Target
LORATADINE 10 MG,"Allergy, Cough and Cold",30,$4,90,$10,Target
PROMETHAZINE 6.25 MG/5 ML*,"Allergy, Cough and Cold",180,$4,540,$10,Target
PROMETHAZINE DM ,"Allergy, Cough and Cold",120,$4,360,$10,Target
CYCLOBENZAPRINE 10 MG,Analgesic,30,$4,90,$10,Target
CYCLOBENZAPRINE 5 MG,Analgesic,30,$4,90,$10,Target
IBUPROFEN 100 MG/5 ML*,Analgesic,120,$4,360,$10,Target
IBUPROFEN 400 MG,Analgesic,90,$4,270,$10,Target
IBUPROFEN 600 MG,Analgesic,60,$4,180,$10,Target
IBUPROFEN 800 MG,Analgesic,30,$4,90,$10,Target
INDOMETHACIN 25 MG*,Analgesic,60,$4,180,$10,Target
MELOXICAM 15 MG,Analgesic,30,$4,90,$10,Target
MELOXICAM 7.5 MG,Analgesic,30,$4,90,$10,Target
NAPROXEN 375 MG*,Analgesic,60,$4,180,$10,Target
NAPROXEN 500 MG*,Analgesic,60,$4,180,$10,Target
BUSPIRONE 10 MG*,AntiAnxiety,60,$4,180,$10,Target
BUSPIRONE 5 MG,AntiAnxiety,60,$4,180,$10,Target
PAROXETINE 10 MG*,AntiAnxiety,30,$4,90,$10,Target
PAROXETINE 20 MG*,AntiAnxiety,30,$4,90,$10,Target
AMOXICILLIN 125 MG/5 ML,Antibiotic,80,$4,240,$10,Target
AMOXICILLIN 125 MG/5 ML,Antibiotic,100,$4,300,$10,Target
AMOXICILLIN 125 MG/5 ML,Antibiotic,150,$4,450,$10,Target
AMOXICILLIN 200 MG/5 ML,Antibiotic,50,$4,150,$10,Target
AMOXICILLIN 200 MG/5 ML*,Antibiotic,75,$4,225,$10,Target
AMOXICILLIN 200 MG/5 ML*,Antibiotic,100,$4,300,$10,Target
AMOXICILLIN 250 MG,Antibiotic,30,$4,90,$10,Target
AMOXICILLIN 250 MG/5 ML,Antibiotic,80,$4,240,$10,Target
AMOXICILLIN 250 MG/5 ML,Antibiotic,100,$4,300,$10,Target
